Q,A,QE,AE
"Yeah. Yeah. And then yeah, and then you know like you could like you could do like like sock her for a lot of money",I know. What do you think I should-,hap,hap
I know. What do you think I should-,"Like make her rent the apartment that you two have to live together in, you know. And you won't pay any rent or you pay like, a hundred bucks a month or something.",hap,hap
"Like make her rent the apartment that you two have to live together in, you know. And you won't pay any rent or you pay like, a hundred bucks a month or something.",Oh good idea.,hap,hap
Yeah.  Make her like open the bank account and stuff too.,Yeah.,neu,hap
Yeah.,It's a good idea.,hap,hap
It's a good idea.,"Dude, you lucked out.",hap,hap
"Dude, you lucked out.",I know.  Also I get to like plan the wedding now too. That will be fun.,hap,hap
I know.  Also I get to like plan the wedding now too. That will be fun.,"Yeah.  My colors are blush and beige what is it, do you know?",hap,hap
"Yeah.  My colors are blush and beige what is it, do you know?","Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?",hap,hap
"Something blue, something new, something... no I don't know. [LAUGHTER] So yeah, wonder if she's going to pay me up front but do you think it's bad though, do you think they're going to like track the money or something?",Oh I don't know. [LAUGHTER],hap,hap
I don't know get it in cash.,Just cash hardcore.,neu,neu
Just cash hardcore.,Yeah.,neu,neu
Yeah.,What should we do?  Where should we get married? We should have party.,neu,hap
What should we do?  Where should we get married? We should have party.,How exciting. You should have a wedding on the beach.,hap,hap
How exciting. You should have a wedding on the beach.,"Yeah, like a big like- A wedding on the beach, that would be nice.",hap,hap
"Yeah, like a big like- A wedding on the beach, that would be nice.","Yeah, at night.",hap,hap
"Yeah, at night.",And then we can honeymoon.  I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.,hap,neu
And then we can honeymoon.  I want to go tropical though like Bahamas- --or like Tahiti or something. I just want to like beach and like drink.,"Oh yeah, absolutely, absolutely.",neu,neu
How exciting.  You should make her bring all your friends too.,I'll make her pay for that.  I hear she's like totally wealthy. She's like royalty- --or something like and- --whatever like removed or something but yeah.,hap,hap
I'll make her pay for that.  I hear she's like totally wealthy. She's like royalty- --or something like and- --whatever like removed or something but yeah.,[GARBAGE] She's got to be loaded.  fifty thousand dollars.  That's incredible.,hap,hap
Incredible.,I'm going to marry a blue blood. [LAUGHTER],hap,hap
I'm going to marry a blue blood. [LAUGHTER],"you're a lucky, lucky, lucky man.",hap,hap
"you're a lucky, lucky, lucky man.",Will you help me plan?,hap,hap
Will you help me plan?,"Oh, totally. Yeah.",hap,hap
How come?,It's--I've been trying to find this job I can't get any job.,xxx,fru
It's not fair.,What do you mean?,fru,neu
What do you mean?,"I mean I've been looking for a job for like three years and I can't get a job.  I mean like, it's America, right?  I should be able to get a job.",neu,fru
"I mean I've been looking for a job for like three years and I can't get a job.  I mean like, it's America, right?  I should be able to get a job.",There's a lot of people looking for jobs.,fru,neu
There's a lot of people looking for jobs.,"I guess.  But three years?  I mean, I like--I went to college even, I mean I didn't finish but I went for like a little bit.  It's not fair, I don't know.",neu,fru
"I guess.  But three years?  I mean, I like--I went to college even, I mean I didn't finish but I went for like a little bit.  It's not fair, I don't know.","I don't know, I mean, I just don't think...",fru,neu
"I don't know, I mean, I just don't think...","I mean I've been sending out my resumes and doing everything I can do but nothing is happening.  You know, it's like I can't and I can't keep living on loans anymore like this.  I'm going to--I mean eventually I'm going to have to pay it back. I'm just kind of freaking out, I don't know.",neu,fru
"I mean I've been sending out my resumes and doing everything I can do but nothing is happening.  You know, it's like I can't and I can't keep living on loans anymore like this.  I'm going to--I mean eventually I'm going to have to pay it back. I'm just kind of freaking out, I don't know.",Did you ever think it might be your attitude that's...,fru,neu
"What's my--like what do you mean ""my attitude""?","I don't know just sometimes you get kind of... No, I'm not saying that.  I just--",xxx,neu
"No, well maybe it's because I'm like frustrated 'cause I can't get a job, you know.",...has anyone ever just said anything like that to you before?,fru,neu
...has anyone ever just said anything like that to you before?,"Like it's really hard to like shake that off when you go into like audition a room or whatever, you know what I mean?",neu,fru
"Like it's really hard to like shake that off when you go into like audition a room or whatever, you know what I mean?","Right, sure.",fru,neu
"But I mean you kind of got to, you got to fake it 'til you feel it, right?","I guess I just getting really hard to fake, you know.",neu,fru
"I guess I just getting really hard to fake, you know.",I'm just saying that if I was looking to hire somebody in the--or kind of... No. No. No.,fru,neu
I'm just saying that if I was looking to hire somebody in the--or kind of... No. No. No.,"Are you hiring? Wait, do you know of a job? Seriously, do you know, like do you know of anything though?  Like, oh please, do you know of anything?",neu,fru
"Are you hiring? Wait, do you know of a job? Seriously, do you know, like do you know of anything though?  Like, oh please, do you know of anything?",No.  I'm just saying though that if I was a person who was hiring somebody I-- --would not hire someone who was angry or upset.,fru,neu
No.  I'm just saying though that if I was a person who was hiring somebody I-- --would not hire someone who was angry or upset.,Yeah.,neu,fru
I come across angry?,No.,fru,neu
No.,What?,neu,ang
What?,"Well, you know a little.  If you were to listen to--",ang,neu
"Well, you know a little.  If you were to listen to--","Okay.  You're my friend you can tell me stuff.  You can tell me honestly stuff, okay?  Please.",neu,fru
"Okay.  You're my friend you can tell me stuff.  You can tell me honestly stuff, okay?  Please.",I just don't want you to fly off the handle.,fru,neu
I just don't want you to fly off the handle.,"Okay, I'm not flying off the handle I don't think I'm flying off the handle here at all.",neu,fru
"Okay, I'm not flying off the handle I don't think I'm flying off the handle here at all.",You kind of have a short fuse.,fru,neu
You kind of have a short fuse.,I have a short fuse?,neu,fru
I have a short fuse?,Yeah.,fru,neu
Yeah.,"Okay. Okay no, no, no, no okay no, I need to hear this more. Come on, bring it.",neu,ang
"Okay. Okay no, no, no, no okay no, I need to hear this more. Come on, bring it.","Like this, right now we're trying have a conversation.",ang,neu
I'm not always right I'm just--,I can't finish the sentence with you without you jumping in...,fru,neu
fine okay.,You have an excuse for everything.,xxx,neu
You have an excuse for everything.,[BREATHING],neu,fru
[BREATHING],I'm just saying that maybe you should take in some information before you produce more of your own.,fru,neu
I'm just saying that maybe you should take in some information before you produce more of your own.,I'm like a sponge I'm like soaked up with all this information for like three years I'm just dying for a job to like put it in to.,neu,ang
I'm like a sponge I'm like soaked up with all this information for like three years I'm just dying for a job to like put it in to.,[BREATHING],ang,neu
That's -.,"You know, and like I don't think it's that much to ask. I know.",fru,fru
"You know, and like I don't think it's that much to ask. I know.","Well, what kind of field are you looking to go into?",fru,neu
"Well, what kind of field are you looking to go into?",That's it.,neu,neu
Can I help you?,"Yes, please help me.  Where is my bag?",neu,fru
"Yes, please help me.  Where is my bag?",I need a little more information.,fru,neu
I need a little more information.,"Where is my bag?  Come on, I've been here for four hours.",neu,fru
"Where is my bag?  Come on, I've been here for four hours.",What- What flight did you come in on?,fru,neu
What- What flight did you come in on?,"Okay, I'm coming in from Atlanta.",neu,fru
"Okay, I'm coming in from Atlanta.",Georgia?,fru,neu
"Yes, Georgia.  Good for you I need my bag.  Can you...","There's no need for you to raise your voice, sir.",xxx,neu
I speak your language.,Are you insinuating that I don't have a college education and that- for some reason that makes you a better person than I am?,neu,ang
"Listen, shut your smug mouth, okay?  I don't need that.",I'm just saying you don't need to talk to me like I-,ang,neu
I'm just saying you don't need to talk to me like I-,I've been sitting here for four hours.,neu,ang
I've been sitting here for four hours.,I'm not a child.,ang,fru
I've been here for sixteen.,You people have just been tossing me around like a used hanky.,xxx,ang
I come here every single day.,You work here.,xxx,ang
You work here.,"Details, Details.  Well, anyhow can I--",ang,neu
so you flew in from Atlanta...,My bag from Atlanta.,neu,fru
My bag from Atlanta.,Four...Four hours ago.,fru,neu
Four...Four hours ago.,It's a little black bag with wheels.,neu,fru
It's a little black bag with wheels.,Do you have any i-?,fru,neu
That you wouldn't let me put in the overhead compartment.  You said I had to check it.,I wouldn't let you?   I was not in Atlanta. I was not in Atlanta.,xxx,neu
It's a tiny little bag.,I had nothing to do with the boarding attendance.  I'm sorry that your seat was wherever it was.,xxx,neu
"It was right in the middle of five different people.  I had a huge fat lady next me, a crying kid on left I went like can I please get a Bloody Mary, please? Will you bring a Bloody Mary?","I have some unfortunate news, uh, that your bag isn't going to be--",xxx,neu
"Just had a really, really stressful day, okay?  And I need my bag; can you please help me get my bag?",I'm really sorry to tell you this but...,xxx,neu
